Round,Accuracy,Loss,Worker,Networkcost
1,17.49,2.286588806,h2 ,6.941336
2,35.83,2.266337188,h3 ,13.884388
3,36.44,2.222270661,h4 ,20.832812
4,49.64,2.198859819,h5 ,28.086429
5,50.64,2.149834065,h6 ,35.366111
6,51.35,2.002740767,h7 ,42.631144
7,61.69,1.897177654,h8 ,50.40829
8,33.84,1.793217931,h9 ,58.026818
9,60.99,1.54718147,h10 ,65.732516
10,71.08,1.129164059,h2 ,72.670552
1,23.24,2.286174879,h2 ,6.950134
2,25.74,2.266709994,h3 ,13.893268
3,36.43,2.222627688,h4 ,20.838038
4,34.78,2.196954189,h5 ,28.068167
5,51.58,2.142559563,h6 ,35.34971
6,57.93,1.988902152,h7 ,42.740729
7,50.54,1.8850582,h8 ,50.496059
8,40.26,1.765883377,h9 ,58.371283
9,50.36,1.494098481,h10 ,66.235839
10,73.75,1.130161777,h2 ,73.176211
1,28.09,2.280872961,h2 ,6.949082
2,39.51,2.256439463,h3 ,13.896238
3,57.85,2.198423436,h4 ,20.844192
4,59.15,2.162752277,h5 ,28.124842
5,67.92,2.082137496,h6 ,35.399476
6,73.71,1.810442841,h7 ,42.783224
7,76.55,1.62210011,h8 ,50.603316
8,66.44,1.360482282,h9 ,58.499306
9,81.19,0.933439616,h10 ,66.29398
10,76.71,0.851956344,h2 ,73.23654
1,26.08,2.270591428,h2 ,6.951408
2,11.37,2.249100832,h3 ,13.89545
3,51.3,2.150835826,h4 ,20.84316
4,61.09,2.094998384,h5 ,28.248406
5,64.76,1.964708941,h6 ,35.57352
6,63.02,1.662352553,h7 ,42.954883
7,61.19,1.451131223,h8 ,50.647986
8,57.27,1.380207262,h9 ,58.486246
9,71.79,0.941202038,h10 ,66.109925
10,79.81,0.811119111,h2 ,73.049949
1,19.44,2.286911645,h2 ,6.940459
2,23.41,2.268749222,h3 ,13.885435
3,38.21,2.225878599,h4 ,20.833979
4,38.03,2.201393486,h5 ,28.122306
5,57.32,2.149255938,h6 ,35.67714
6,62.11,1.979591713,h7 ,42.987606
7,60.52,1.855480508,h8 ,50.723925
8,55.57,1.628200767,h9 ,58.542728
9,60.14,1.342909855,h10 ,66.193239
10,67.49,1.074143827,h2 ,73.132275
1,14.81,2.2838558,h2 ,6.942658
2,17.52,2.266733196,h3 ,13.88571
3,43.42,2.21601818,h4 ,20.831302
4,47.63,2.18739083,h5 ,28.046488
5,61.26,2.126227573,h6 ,35.313935
6,68.87,1.930268736,h7 ,42.58666
7,66.87,1.804378901,h8 ,50.162912
8,47.67,1.651122945,h9 ,57.870049
9,74.91,1.182519567,h10 ,65.63522
10,67.97,1.088726594,h2 ,72.577268
1,16.76,2.290496426,h2 ,6.94249
2,15.21,2.275617384,h3 ,13.883954
3,43.05,2.237760236,h4 ,20.829964
4,49.47,2.216349494,h5 ,28.107902
5,56.78,2.172478828,h6 ,35.379506
6,59.71,2.040081437,h7 ,42.586626
7,68.25,1.943539488,h8 ,50.301231
8,43.58,1.810604577,h9 ,58.069275
9,72.5,1.262713062,h10 ,65.731345
10,77.87,1.1265055,h2 ,72.671313
1,18.52,2.284172976,h2 ,6.940862
2,27.39,2.266701946,h3 ,13.88573
3,51.97,2.225754663,h4 ,20.834982
4,35.23,2.202847588,h5 ,28.174479
5,56.16,2.155411122,h6 ,35.361146
6,58.65,2.00984411,h7 ,42.8105
7,66.54,1.907783933,h8 ,50.553567
8,21.88,1.934108331,h9 ,58.101173
9,66.94,1.341114397,h10 ,65.928728
10,70.9,1.160224079,h2 ,72.86628
1,19.14,2.287309043,h2 ,6.941517
2,9.88,2.275417902,h3 ,13.885973
3,35.53,2.230686561,h4 ,20.832337
4,31.2,2.208239406,h5 ,28.114301
5,39.39,2.160558482,h6 ,35.565641
6,60.53,2.013401872,h7 ,42.826395
7,57.26,1.903650409,h8 ,50.554664
8,50.68,1.747092947,h9 ,58.32429
9,64.6,1.481199187,h10 ,65.994901
10,69.11,1.167028481,h2 ,72.935183
1,20.18,2.278759909,h2 ,6.943288
2,30.47,2.258464652,h3 ,13.886364
3,35.36,2.207262921,h4 ,20.831788
4,39.78,2.177008186,h5 ,28.29656
5,61.8,2.110261792,h6 ,35.59631
6,50.62,1.88639799,h7 ,42.837678
7,71.27,1.748724238,h8 ,50.633281
8,33.81,1.639063076,h9 ,58.39103
9,65.97,1.150003031,h10 ,66.133141
10,75.61,1.023479526,h2 ,73.073181
